MV_ID,NOME,SKU,PRODUTTORE,SIZE,LINGUA,TOP/TAB,PROMO,VALORE (STIMA),OPENING,CONDITIONS,MORE INFO
can_1h6gpsm,ABSOLUTELY ZERO,0913,MCC,473ML,HONG KONG,SILVER/LIGHT BLUE,,15,BOTTOM OPEN,OK,
can_1p76hw,ABSOLUTELY ZERO,0717,BALL,500ML,GREECE,SILVER,,8,,OK,
can_gr94w8,ABSOLUTELY ZERO,0315,BALL,500ML,ITALY,SILVER,,3,,OK,
can_1qm4nl8,"ABSOLUTELY ZERO ""500 mL""",1212,?,500ML,AUSTRALIA,SILVER,,50,BOTTOM OPEN,OK,
can_1o8i8mo,"ABSOLUTELY ZERO ""DARK""",1214,REXAM,473ML,USA,SILVER/BLACK,,35,TOP OPENED,OK,
can_vx7e2,"ABSOLUTELY ZERO ""DARK"" ""500 mL""",0117,?,500ML,AUSTRALIA,SILVER/LIGHT BLUE,,60,BOTTOM OPEN,OK,
can_17hl21g,"ABSOLUTELY ZERO ""DARK"" ""CANADA"" BLUE TAB",0915,BALL,473ML,CANADA,SILVER/LIGHT BLUE,,60,BOTTOM OPEN,OK,
can_1143ivu,"ABSOLUTELY ZERO ""DARK"" 710",0115,REXAM,710ML,USA,TWIST TOP,,60,PLASTIC,OK,
can_10n9i21,"ABSOLUTELY ZERO ""DARK"" ASSASSIN'S CREED",0617,AG,473ML,USA,SILVER/BLUE,YES,30,,OK,
can_sfuujb,"ABSOLUTELY ZERO ""DARK"" ASSASSIN'S CREED",0617,BALL,473ML,CANADA,SILVER/LIGHT BLUE,YES,50,BOTTOM OPEN,OK,
can_crmwh7,"ABSOLUTELY ZERO ""DARK"" BF1",0516,REXAM,473ML,USA,SILVER/BLUE,YES,30,,OK,
can_1acxbic,"ABSOLUTELY ZERO ""DARK"" CARIBBEAN",0518 N,MCC,473ML,CARIBBEAN,SILVER/BLUE,,60,,OK,CARBONATED ENERGY DRINK
can_13wey4z,"ABSOLUTELY ZERO ""DARK"" COD BO4",0618,BALL,473ML,CANADA,SILVER/BLUE,YES,50,,OK,
can_x891yu,"ABSOLUTELY ZERO ""DARK"" COD BO4",0518,AG,473ML,USA,SILVER/BLUE,YES,25,,OK,
can_uwj0nb,"ABSOLUTELY ZERO ""DARK"" UNLOCK THE VAULT",0119,AG,473ML,USA,SILVER/BLUE,YES,25,,OK,
can_1cndq5d,"ABSOLUTELY ZERO ""LAVENDER""",0814,REXAM,473ML,USA,SILVER/PURPLE,,40,,OK,
can_16y6ppn,"ABSOLUTELY ZERO ""LAVENDER"" 710",0414,REXAM,710ML,USA,TWIST TOP,,80,PLASTIC,OK,
can_19brgi8,"ABSOLUTELY ZERO ""LIGHT""",0212,BALL,500ML,GREECE,SILVER/BLACK,,15,,OK,
can_1hboug3,"ABSOLUTELY ZERO ""LIGHT""",0411,MCC,473ML,USA,SILVER/LIGHT BLUE,,30,,Minor Dents,
can_1ydqdtk,"ABSOLUTELY ZERO ""LIGHT""",0112,BALL,500ML,UK,SILVER,,12,,OK,
can_5n7syi,"ABSOLUTELY ZERO ""LIGHT""",0212,REXAM,500ML,ITALY,SILVER,,12,,OK,
can_ctuma2,"ABSOLUTELY ZERO ""LIGHT""",0212,REXAM,500ML,GERMANY,SILVER,,12,,OK,
can_fss04j,"ABSOLUTELY ZERO ""LIGHT""",0213,MCC,473ML,USA,SILVER/LIGHT BLUE,,30,,Minor Dents,
can_1j3x8fm,"ABSOLUTELY ZERO ""LIGHT"" 250",1211,REXAM,250ML,UK,SILVER,,50,,OK,
can_ydxuv8,"ABSOLUTELY ZERO ""LIGHT"" 710",0113,REXAM,710ML,USA,TWIST TOP,,40,PLASTIC,OK,
can_emqhi1,"ABSOLUTELY ZERO ""LIGHT"" BRAZIL",0623,CP,473ML,BRAZIL,SILVER/LIGHT BLUE,,10,TOP OPENED,OK,
can_lamrr6,"ABSOLUTELY ZERO ""LIGHT"" CANADA BIG ""ZERO"" LOGO",0511,REXAM,473ML,CANADA,SILVER/LIGHT BLUE,,60,,OK,
